batsman,SUM(batsman_runs)
V Kohli,5878
SK Raina,5368
DA Warner,5254
RG Sharma,5230
S Dhawan,5197
AB de Villiers,4849
CH Gayle,4772
MS Dhoni,4632
RV Uthappa,4607
G Gambhir,4217
AM Rahane,3933
SR Watson,3874
KD Karthik,3823
AT Rayudu,3659
MK Pandey,3268
YK Pathan,3204
KA Pollard,3023
BB McCullum,2880
PA Patel,2848
Yuvraj Singh,2750
V Sehwag,2728
KL Rahul,2647
M Vijay,2619
SV Samson,2584
SE Marsh,2477
JH Kallis,2427
DR Smith,2385
SR Tendulkar,2334
SPD Smith,2333
F du Plessis,2302
SS Iyer,2200
R Dravid,2174
RA Jadeja,2159
RR Pant,2079
AC Gilchrist,2069
JP Duminy,2029
SA Yadav,2024
AJ Finch,2005
WP Saha,1979
MEK Hussey,1977
Q de Kock,1959
DA Miller,1850
DPMD Jayawardene,1802
JC Buttler,1714
MK Tiwary,1695
MA Agarwal,1690
KC Sangakkara,1687
Mandeep Singh,1659
KS Williamson,1619
NV Ojha,1554
AD Russell,1517
GJ Maxwell,1505
DJ Bravo,1490
KK Nair,1480
S Badrinath,1441
N Rana,1437
BJ Hodge,1400
SS Tiwary,1379
SC Ganguly,1349
HH Pandya,1349
DJ Hussey,1322
CA Lynn,1280
EJG Morgan,1272
Ishan Kishan,1211
TM Dilshan,1153
KM Jadhav,1141
IK Pathan,1139
ML Hayden,1107
LMP Simmons,1079
LRPL Taylor,1017
M Vohra,1012
KP Pietersen,1001
KH Pandya,1000
RA Tripathi,988
Y Venugopal Rao,985
JA Morkel,974
A Symonds,974
MC Henriques,969
CL White,954
Shubman Gill,939
BA Stokes,920
AR Patel,913
SP Narine,892
HH Gibbs,886
STR Binny,880
Harbhajan Singh,829
PP Shaw,826
MP Stoinis,825
MS Bisla,798
JM Bairstow,790
ST Jayasuriya,768
Shakib Al Hasan,746
GC Smith,739
AD Mathews,724
TL Suman,676
AM Nayar,672
GJ Bailey,663
V Shankar,654
DJ Hooda,625
JD Ryder,604