bowler,SUM(is_wicket)
SL Malinga,188
DJ Bravo,175
A Mishra,169
PP Chawla,164
Harbhajan Singh,161
R Ashwin,153
B Kumar,146
SP Narine,143
UT Yadav,137
R Vinay Kumar,127
YS Chahal,124
RA Jadeja,122
A Nehra,121
Z Khan,119
JJ Bumrah,119
Sandeep Sharma,117
SR Watson,107
DW Steyn,105
P Kumar,102
RP Singh,100
MM Sharma,100
IK Pathan,99
PP Ojha,99
JA Morkel,96
DS Kulkarni,91
JD Unadkat,88
M Morkel,88
CH Morris,88
AR Patel,87
L Balaji,85
Imran Tahir,83
AB Dinda,82
MM Patel,82
R Bhatia,82
Rashid Khan,80
MJ McClenaghan,75
JH Kallis,74
Mohammed Shami,74
I Sharma,73
SK Trivedi,73
JP Faulkner,72
KA Pollard,71
TA Boult,67
AD Russell,67
M Muralitharan,66
K Rabada,66
Shakib Al Hasan,66
KV Sharma,64
MG Johnson,64
SK Warne,60
S Kaul,55
S Nadeem,53
SN Thakur,50
SB Jakati,50
HV Patel,50
S Gopal,49
KH Pandya,49
A Kumble,49
S Aravind,48
RJ Harris,47
JC Archer,47
YK Pathan,46
HH Pandya,45
DL Chahar,45
AJ Tye,45
Iqbal Abdulla,45
NM Coulter-Nile,45
VR Aaron,44
S Sreesanth,43
P Awana,43
Kuldeep Yadav,43
DE Bollinger,43
R Sharma,42
MC Henriques,42
Mohammed Siraj,41
PJ Sangwan,41
MA Starc,39
MS Gony,39
M Kartik,39
Yuvraj Singh,39
P Negi,38
DP Nannes,38
NLTC Perera,37
DT Christian,36
KK Cooper,36
DL Vettori,34
TG Southee,34
AB Agarkar,33
MF Maharoof,33
BA Stokes,31
Azhar Mahmood,31
PJ Cummins,31
A Singh,31
RD Chahar,31
WD Parnell,31
B Lee,30
SK Raina,30
Harmeet Singh,30
KK Ahmed,30
MP Stoinis,29