result_margin,team1,team2,winner
10,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
10,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders
10,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
10,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
10,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
10,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
10,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
10,Rajasthan Royals,Mumbai Indians,Mumbai Indians
10,Mumbai Indians,Deccan Chargers,Deccan Chargers
10,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab